시구,설치장소,주소,급속충전기(대),완속충전기(대),지원차종
충청남도 아산시,더샵레이크시티3차아파트,음봉면,1,4,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
충청남도 아산시,둔포전통시장,둔포면,1,0,"SM3 Z.E,테슬라"
충청남도 아산시,득산동 공영주차장 충전소,온양4동,1,0,"SM3 Z.E,테슬라"
충청남도 아산시,모종 캐슬어울림1단지,온양3동,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
충청남도 아산시,모종1차 한성필하우스 아파트,온양3동,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
충청남도 아산시,모종캐슬어울림3단지 아파트,온양3동,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
충청남도 아산시,방축동시민체육관 충전소,온양4동,1,0,"SM3 Z.E,테슬라"
충청남도 아산시,배방 제3공영주차장 충전소,배방읍,2,0,"SM3 Z.E,테슬라"
충청남도 아산시,신정호주차타워 충전소,온양4동,1,0,"SM3 Z.E,테슬라"
충청남도 아산시,아산경찰서 인재개발원,온양5동,1,0,"SM3 Z.E,테슬라"
충청남도 아산시,아산원예농협 하나로마트,온양4동,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
충청남도 아산시,아산장재마을휴먼시아,배방읍,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
충청남도 아산시,아산지사,온양6동,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
충청남도 아산시,아산풍기이지더원1차,온양6동,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
충청남도 아산시,영인산 3주차장 충전소,영인면,2,0,"SM3 Z.E,테슬라"
충청남도 아산시,온양6동주민센터,온양6동,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
충청남도 아산시,온양힐스테이트,온양1동,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
충청남도 아산시,와이시티 아파트,배방읍,1,4,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
충청남도 아산시,용연마을휴먼시아2단지 아파트,배방읍,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
충청남도 아산시,이순신종합운동장,온양6동,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
충청남도 아산시,제2테크노밸리 3공영주차장 충전소,음봉명,2,0,"SM3 Z.E,테슬라"
충청남도 아산시,좌부동 공영주차장 충전소,온양6동,1,0,"SM3 Z.E,테슬라"
충청남도 아산시,충남과학교육원,온양6동,2,0,"SM3 Z.E,테슬라"
충청남도 아산시,탕정농협 하나로마트,탕정면,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
